,STOCK,CODE
292,Asahi India Glass Ltd.,BOM515030
293,Asahi Industries Limited,BOM514482
294,Asahi Infrastructure & Projects Ltd.,BOM512535
295,Asahi Songwon Colors Ltd.,BOM532853
296,Aseem Global Ltd.,BOM534564
297,Ashapura Intimates Fashion Ltd.,BOM535467
298,Ashapura Minechem Ltd.,BOM527001
299,Ashco Niulab Industries Ltd,BOM517565
300,Ashiana Agro Industries Ltd.,BOM519174
301,Ashiana Housing Ltd,BOM523716
302,Ashiana Ispat Ltd.,BOM513401
303,Ashika Credit Capital Ltd.,BOM590122
304,Ashima Ltd.,BOM514286
305,Ashirwad Capital Ltd.,BOM512247
306,Ashirwad Steels & Industries Ltd.,BOM526847
307,Ashish Polyplast Ltd.,BOM530429
308,Ashnoor Textile Mills Ltd.,BOM507872
309,Ashok Alco-chem Ltd.,BOM524594
310,Ashok Leyland Ltd.,BOM500477
311,Ashoka Buildcon Ltd.,BOM533271
312,Ashoka Refineries Ltd.,BOM526983
313,Ashram Online.com Ltd.,BOM526187
314,Ashutosh Paper Mills Ltd.,BOM531568
315,Asia Capital Ltd,BOM538777
316,Asia Pack Ltd.,BOM530899
317,Asian Electronics Ltd.,BOM503940
318,Asian Flora Ltd.,BOM531392
319,Asian Granito India Ltd.,BOM532888
320,Asian Hotels (east) Ltd.,BOM533227
321,Asian Hotels (north) Limited,BOM500023
322,Asian Hotels (west) Ltd.,BOM533221
323,Asian Oilfield Services Ltd.,BOM530355
324,Asian Paints Ltd.,BOM500820
325,Asian Petroproducts & Exports Ltd.,BOM524434
326,Asian Star Co.ltd,BOM531847
327,Asian Tea & Exports Ltd,BOM519532
328,Asis Logistics Limited,BOM506159
329,Asit C.mehta Financial Services Ltd.,BOM530723
330,Asm Technologies Ltd.,BOM526433
331,Assam Company (india) Limited,BOM500024
332,Associated Alcohols & Breweries Ltd.,BOM507526
333,Associated Stone Industries (kotah) Ltd.,BOM502015
334,Astec Lifesciences Limited,BOM533138
335,Astra Microwave Products Ltd.,BOM532493
336,Astral Poly Technik Ltd.,BOM532830
337,Astrazeneca Pharma India Ltd.,BOM506820
338,Asya Infosoft Limited,BOM511144
339,Atharv Enterprises Ltd.,BOM530187
340,Athena Constructions Ltd,BOM539099
341,Athena Global Technologies Ltd,BOM517429
342,Atishay Ltd,BOM538713
343,Atlanta Devcon Limited,BOM526843
344,Atlanta Infrastructure And Finance Ltd.,BOM530479
345,Atlanta Ltd.,BOM532759
346,Atlas Cycles (haryana) Ltd.,BOM505029
347,Atlas Jewellery India Limited,BOM514394
348,Atn International Ltd.,BOM511427
349,Atul Auto Ltd,BOM531795
350,Atul Ltd.,BOM500027
351,Atv Projects India Ltd.,BOM500028
352,Aunde India Limited,BOM532459
353,Aurangabad Paper Mills Ltd.,BOM502352
354,Aurionpro Solutions Ltd.,BOM532668
355,Auro Laboratories Ltd.,BOM530233
356,Aurobindo Pharma Ltd.,BOM524804
357,Auroma Coke Ltd.,BOM531336
358,Aurum Soft Systems Limited,BOM530885
359,Ausom Enterprise Limited,BOM509009
360,Austin Engineering Co.ltd.,BOM522005
361,Austral Coke & Projects Ltd.,BOM533016
362,Authum Investment & Infrastucture Ltd,BOM539177
363,Autoline Industries Ltd.,BOM532797
364,Autolite (india) Ltd.,BOM500029
365,Automobile Corporation Of Goa Ltd,BOM505036
366,Automotive Axles Ltd.,BOM505010
367,Automotive Stampings & Assemblies Ltd.,BOM520119
368,Autoriders Finance Ltd.,BOM500030
369,Autoriders International Ltd.,BOM512277
370,Available Finance Ltd.,BOM531310
371,Avance Technologies Ltd.,BOM512149
372,Avantel Ltd.,BOM532406
373,Avanti Feeds Ltd,BOM512573
374,Avi Photochem Ltd.,BOM523896
375,Avi Polymers Ltd,BOM539288
376,Aviva Industries Ltd.,BOM512109
377,Avon Corporation Ltd.,BOM532995
378,Avon Lifesciences Ltd,BOM531541
379,Avonmore Capital & Management Services Limited,BOM511589
380,Avt Natural Products Ltd.,BOM519105
381,Avtil Enterprise Ltd,BOM504390
382,Axel Polymers Ltd.,BOM513642
383,Axis Bank Ltd.,BOM532215
384,Axiscades Engineering Technologies Ltd,BOM532395
385,Axon Ventures Ltd,BOM505506
386,Axtel Industries Ltd.,BOM523850
